ID;ARTICLE;NAME;BRAND;MODEL;QUANTITY;PRICE;Ширина;Диаметр;KOL_VO_KREPEZHNYKH_OTVERSTIY;PCD;PCD2;ET;DIA;LZ2;WHEEL_TYPE;COLOR;SHOP_LENGTH;SHOP_WIDTH;SHOP_HEIGHT;SHOP_WEIGHT;CATEGORY;Код поставщика;Год производства;Товар SALE;Срок доставки;Расшифровка цвета;Артикул поставщика;Изображение ММ 1;Изображение ММ 1_SHA1;PRODUCT_IMAGE;PRODUCT_IMAGE_SHA1;WAREHOUSE_ID;WAREHOUSE_NAME
w450645;WHS116147;iFree S.U. 6x15 5*100 ET38 DIA57.1 Блэк Джек Литой;iFree;S.U.;8;7414.00;6;15;5;100;;38;57.1;;Литой;Блэк Джек;390;390;150;8000;легковые;WHS116147;;;0;Черный и комбинации;WHS116147;https://lk.selectyre.ru/media/wheels/big/ifree/su_43492.png;35946059efc123e8134028d1e7a4b2b051df4838;https://lk.selectyre.ru/media/wheels/big/ifree/su_43492.png;35946059efc123e8134028d1e7a4b2b051df4838;fortochki_novosibirsk;Новосибирск
w450646;265508;iFree Дайс 6x15 4*100 ET48 DIA54.1 Хай Вэй Литой;iFree;Дайс;16;6882.00;6;15;4;100;;48;54.1;;Литой;Хай Вэй;390;390;150;8000;легковые;00000024817;;;0;Серый;00000024817;https://lk.selectyre.ru/media/wheels/big/ifree/days_47002.png;aa31ad0adfa835366bfbe9af7d6ee497367ea561;https://lk.selectyre.ru/media/wheels/big/ifree/days_47002.png;aa31ad0adfa835366bfbe9af7d6ee497367ea561;zapaska_novosibirsk;Новосибирск
w450650;9284727;Trebl 53A49A 5.5x14 4*100 ET49 DIA56.6 Black Штампованный;Trebl;53A49A;40;2649.00;5.5;14;4;100;;49;56.6;;Штампованный;Black;360;360;140;8500;легковые;00000027093;;;0;Черный и комбинации;00000027093;https://lk.selectyre.ru/media/wheels/big/trebl/53a49a_35622.jpg;bcdbf8f4465121b136dc9aaa74602bd052051424;https://lk.selectyre.ru/media/wheels/big/trebl/53a49a_35622.jpg;bcdbf8f4465121b136dc9aaa74602bd052051424;zapaska_novosibirsk;Новосибирск
w450676;9112732;Trebl 9980 6.5x16 5*114.3 ET52.5 DIA67.1 Black Штампованный;Trebl;9980;4;3060.00;6.5;16;5;114.3;;52.5;67.1;;Штампованный;Black;410;410;170;9700;легковые;00000025786;;;0;Черный и комбинации;00000025786;https://lk.selectyre.ru/media/wheels/big/trebl/9980_99904.jpeg;40f654d5c1f43b7672517aeac9a53b98dd35f875;https://lk.selectyre.ru/media/wheels/big/trebl/9980_99904.jpeg;40f654d5c1f43b7672517aeac9a53b98dd35f875;zapaska_novosibirsk;Новосибирск
w450756;15000 AM;Magnetto 15000 6x15 5*108 ET52.5 DIA63.3 Black Штампованный;Magnetto;15000;7;3030.00;6;15;5;108;;52.5;63.3;;Штампованный;Black;390;390;150;9100;легковые;7033013;;;0;Черный и комбинации;7033013;https://lk.selectyre.ru/media/wheels/big/magnetto/15000_37821.jpg;2e48834ac0c28174a33b763e2097b9488c08a71e;https://lk.selectyre.ru/media/wheels/big/magnetto/15000_37821.jpg;2e48834ac0c28174a33b763e2097b9488c08a71e;brineks_novosibirsk-2;Новосибирск 2
w450764;1270205;Скад Сакура 6.5x15 5*100 ET35 DIA57.1 Алмаз Литой;Скад;Сакура;4;9198.00;6.5;15;5;100;;35;57.1;;Литой;Алмаз;390;390;170;8000;легковые;КА-00029510;;;0;Черный и комбинации;КА-00029510;https://lk.selectyre.ru/media/wheels/big/skad/sakura_48158.png;5600f369098f6ef202dff51714fdf2fc39444e7a;https://lk.selectyre.ru/media/wheels/big/skad/sakura_48158.png;5600f369098f6ef202dff51714fdf2fc39444e7a;zapaska_novosibirsk;Новосибирск
w450883;6516-5х1143-46-671Black;ТЗСК Kia Ceed 6.5x16 5*114.3 ET46 DIA67.1 Black Штампованный;ТЗСК;Kia Ceed;4;2895.00;6.5;16;5;114.3;;46;67.1;;Штампованный;Black;410;410;170;9700;легковые;7030314;;;0;Черный и комбинации;7030314;https://lk.selectyre.ru/media/wheels/big/tzsk/kia-ceed_12820.jpg;7cd07f302c144d19041bad36601c9c2f8e547701;https://lk.selectyre.ru/media/wheels/big/tzsk/kia-ceed_12820.jpg;7cd07f302c144d19041bad36601c9c2f8e547701;brineks_novosibirsk-2;Новосибирск 2
w450967;205505;iFree Эрнесто 6.5x15 5*108 ET43 DIA67.1 Хай Вэй Литой;iFree;Эрнесто;4;6882.00;6.5;15;5;108;;43;67.1;;Литой;Хай Вэй;390;390;170;8000;легковые;КА-00039242;;;0;Серый;КА-00039242;https://lk.selectyre.ru/media/wheels/big/ifree/ernesto_38579.jpg;3aa0fc9b6e032b121c9ae6cc7d6a1e2b388ffa77;https://lk.selectyre.ru/media/wheels/big/ifree/ernesto_38579.jpg;3aa0fc9b6e032b121c9ae6cc7d6a1e2b388ffa77;zapaska_novosibirsk;Новосибирск
w450992;WHS154956;Скад Гамбург 6.5x16 5*114.3 ET38 DIA67.1 Селена Литой;Скад;Гамбург;7;9460.00;6.5;16;5;114.3;;38;67.1;;Литой;Селена;410;410;170;10000;легковые;WHS154956;;;0;Серебристый;WHS154956;https://lk.selectyre.ru/media/wheels/big/skad/gamburg_78558.png;361c7c7e02e71d5bb7020e10e81cba56d6dc50e6;https://lk.selectyre.ru/media/wheels/big/skad/gamburg_78558.png;361c7c7e02e71d5bb7020e10e81cba56d6dc50e6;fortochki_novosibirsk;Новосибирск
w451027;WHS157466;Скад KL-275 7x17 5*114.3 ET51 DIA67.1 Селена Литой;Скад;KL-275;12;11723.00;7;17;5;114.3;;51;67.1;;Литой;Селена;440;440;180;11000;легковые;WHS157466;;;0;Серебристый;WHS157466;https://lk.selectyre.ru/media/wheels/big/skad/kl-275_48698.png;f90a35a43db4004612505bc148c17fad495c9511;https://lk.selectyre.ru/media/wheels/big/skad/kl-275_48698.png;f90a35a43db4004612505bc148c17fad495c9511;fortochki_novosibirsk;Новосибирск
w451082;WHS091046;Скад Адмирал 6.5x17 5*108 ET50 DIA63.3 Селена Литой;Скад;Адмирал;4;11723.00;6.5;17;5;108;;50;63.3;;Литой;Селена;440;440;170;11000;легковые;WHS091046;;;0;Серебристый;WHS091046;https://lk.selectyre.ru/media/wheels/big/skad/admiral_20088.png;f2684d189f786adf84cc837966335816637f568b;https://lk.selectyre.ru/media/wheels/big/skad/admiral_20088.png;f2684d189f786adf84cc837966335816637f568b;fortochki_novosibirsk;Новосибирск
w451114;WHS149531;K&K КС741 6.5x16 5*112 ET46 DIA57.1 Алмаз черный Литой;K&K;КС741;4;8453.00;6.5;16;5;112;;46;57.1;;Литой;Алмаз черный;410;410;170;10000;легковые;WHS149531;;;0;Черный и комбинации;WHS149531;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;fortochki_novosibirsk;Новосибирск
w451158;WHS150988;K&K КС741 6.5x16 5*114.3 ET50 DIA66.1 Алмаз черный Литой;K&K;КС741;8;8453.00;6.5;16;5;114.3;;50;66.1;;Литой;Алмаз черный;410;410;170;10000;легковые;WHS150988;;;0;Черный и комбинации;WHS150988;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;fortochki_novosibirsk;Новосибирск
w451160;WHS152819;K&K КС736 6.5x16 5*114.3 ET38 DIA67.1 Алмаз черный Литой;K&K;КС736;4;8453.00;6.5;16;5;114.3;;38;67.1;;Литой;Алмаз черный;410;410;170;10000;легковые;WHS152819;;;0;Черный и комбинации;WHS152819;https://lk.selectyre.ru/media/wheels/big/kk/ks736_83858.png;2eb724cfe0ccbad6ad05c3a6f21b47fa2f5e70d1;https://lk.selectyre.ru/media/wheels/big/kk/ks736_83858.png;2eb724cfe0ccbad6ad05c3a6f21b47fa2f5e70d1;fortochki_novosibirsk;Новосибирск
w451162;WHS149532;K&K КС741 6.5x16 5*114.3 ET50 DIA67.1 Алмаз черный Литой;K&K;КС741;4;8453.00;6.5;16;5;114.3;;50;67.1;;Литой;Алмаз черный;410;410;170;10000;легковые;WHS149532;;;0;Черный и комбинации;WHS149532;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;fortochki_novosibirsk;Новосибирск
w451168;WHS150976;K&K КС741 6.5x16 5*114.3 ET47 DIA67.1 Алмаз черный Литой;K&K;КС741;4;8453.00;6.5;16;5;114.3;;47;67.1;;Литой;Алмаз черный;410;410;170;10000;легковые;WHS150976;;;0;Черный и комбинации;WHS150976;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;fortochki_novosibirsk;Новосибирск
